price,address,bedrooms,per_month
"$700,000","653 N Kingsbury St #1103 , Chicago, IL 60654",3.0,"$4,893 per month"
"$759,000","2405 W Iowa St #303 , Chicago, IL 60622",3.0,"$4,883 per month"
"$450,000","212 W Washington St #1505 , Chicago, IL 60606",2.0,"$3,332 per month"
"$2,250,000","9999 Confidential , Chicago, IL 60625",7.0,"$14,701 per month"
"$639,000","4110 N Western Ave Unit 2S , Chicago, IL 60618",3.0,"$4,145 per month"
"$525,000","1219 W Foster Ave Unit 2W , Chicago, IL 60640",2.0,"$3,626 per month"
"$330,000","3130 N Monitor Ave , Chicago, IL 60634",4.0,"$2,260 per month"
"$2,495,000","2049 N Seminary Ave , Chicago, IL 60614",4.0,"$16,519 per month"
"$1,650,000","2125 W Erie St , Chicago, IL 60612",5.0,"$11,146 per month"
"$445,000","4156 N Elston Ave Unit 4S , Chicago, IL 60618",3.0,"$3,034 per month"
"$775,000","2024 W Iowa St Unit 3B , Chicago, IL 60622",3.0,"$5,174 per month"
"$789,000","3443 N Whipple St , Chicago, IL 60618",4.0,"$5,375 per month"
"$550,000","60 E Monroe St #2608 , Chicago, IL 60603",2.0,"$4,106 per month"
"$599,000","2657 W Thomas St Unit 1E , Chicago, IL 60622",3.0,"$4,038 per month"
"$235,000","540 W Brompton Ave Unit 2N , Chicago, IL 60657",1.0,"$1,664 per month"
"$575,000","333 W Hubbard St #605 , Chicago, IL 60654",2.0,"$3,946 per month"
"$325,000","1355 N Sandburg Ter #2608 , Chicago, IL 60610",2.0,"$2,169 per month"
"$225,000","777 N Michigan Ave #3406 , Chicago, IL 60611",3.0,"$1,589 per month"
"$260,000","6800 S Dante Ave #3 , Chicago, IL 60637",3.0,"$1,676 per month"
"$340,000","111 S Morgan St #620 , Chicago, IL 60607",1.0,"$2,415 per month"
"$795,000","6551 N Maplewood Ave , Chicago, IL 60645",5.0,"$4,818 per month"
"$699,000","3641 N Ashland Ave Unit 1N , Chicago, IL 60613",4.0,"$5,206 per month"
"$169,000","5338 S Wood St , Chicago, IL 60609",8.0,"$1,269 per month"
"$439,000","9858 S Springfield Ave , Evergreen Park, IL 60805",3.0,"$3,224 per month"
"$2,325,000","2907 W Mclean Ave , Chicago, IL 60647",6.0,"$14,939 per month"
